#: table_doi: 10.17182/hepdata.102408.v1/t223
#: name: Table 215
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 0–10% central Au+Au collisions.
#: data_file: Data72,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],0-10
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,-0.0018472,0.000306,-0.000302,0.00252,-0.00252,0.001491,-0.001491
0.495,0.0033324,0.000318,-0.000818,0.00097,-0.00097,0.001491,-0.001491
0.705,0.0030586,0.000541,-0.001276,0.000755000755,-0.000755000755,0.001491,-0.001491
0.885,0.0017506,0.000511,-0.001158,0.000727,-0.000727,0.001491,-0.001491
1.095,0.0025157,0.000736,-0.001602,0.000784,-0.000784,0.001491,-0.001491
1.275,0.0043207,0.000495,-0.001087,0.000913,-0.000913,0.001491,-0.001491
1.485,0.0043207,0.000688,-0.001495,0.00111,-0.00111,0.001491,-0.001491
1.695,0.0056062,0.000715,-0.001262,0.001427,-0.001427,0.001491,-0.001491
2.875,0.0053333,0.000326,-0.000208,0.001658,-0.001658,0.001491,-0.001491
2.085,0.0042841,0.000568,-0.001164,0.002221,-0.002221,0.001491,-0.001491
2.295,0.0084257,0.000333,-0.000598,0.003002,-0.003002,0.001491,-0.001491
2.535,0.008151,0.000477,-0.000872,0.003681,-0.003681,0.001491,-0.001491
3.045,0.0063188,0.002121,-0.002279,0.007825,-0.007825,0.001491,-0.001491

