#: table_doi: 10.17182/hepdata.102408.v1/t264
#: name: Table 260
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data91,e.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,$\pi^+$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,0.020047,9.9e-05,-5e-05,0.0001,-0.0001,0.00044,-0.00044
0.495,0.039304,4.7e-05,-2.4e-05,0.000122,-0.000122,0.00044,-0.00044
0.675,0.057117,6e-06,-3e-06,0.000169,-0.000169,0.00044,-0.00044
0.885,0.072395,2e-06,-3e-06,0.000242,-0.000242,0.00044,-0.00044
1.065,0.085656,6e-06,-9e-06,0.00035,-0.00035,0.00044,-0.00044
1.275,0.095523,8e-06,-5e-06,0.000505,-0.000505,0.00044,-0.00044
1.485,0.10471,4.5e-05,-2.4e-05,0.000737,-0.000737,0.00044,-0.00044
1.665,0.111428,4.3e-05,-4.3e-05,0.001075,-0.001075,0.00044,-0.00044
1.875,0.117715,0.000174,-7.6e-05,0.001537,-0.001537,0.00044,-0.00044

