#: table_doi: 10.17182/hepdata.102408.v1/t269
#: name: Table 265
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data92,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${\Lambda}$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.013329,0.004983,-0.004368,0.006619,-0.006619,0.000764,-0.000764
0.5055,0.016116,0.000819,-0.000913,0.001642,-0.001642,0.000764,-0.000764
0.7055,0.029149,0.000277,-0.000371,0.000953,-0.000953,0.000764,-0.000764
0.9055,0.046043,0.000488,-0.000273,0.000775,-0.000775,0.000764,-0.000764
1.1055,0.06557,0.000201,-0.000278,0.000745,-0.000745,0.000764,-0.000764
1.2945,0.082784,0.000324,-0.000237,0.000794,-0.000794,0.000764,-0.000764
1.5055,0.098783,0.000316,-0.000263,0.000917,-0.000917,0.000764,-0.000764
1.7055,0.112276,0.000424,-0.000378,0.001105,-0.001105,0.000764,-0.000764
1.9055,0.127772,0.000274,-0.00035,0.001399,-0.001399,0.000764,-0.000764

