#: table_doi: 10.17182/hepdata.102408.v1/t276
#: name: Table 273
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data93,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,$\Lambda$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3045,0.011132,0.001589,-0.003939,0.005226,-0.005226,0.000676,-0.000676
0.5055,0.01492,0.000454,-0.000548,0.001265,-0.001265,0.000676,-0.000676
0.7055,0.029347,0.000232,-0.00051,0.000722,-0.000722,0.000676,-0.000676
0.9055,0.04665,0.00019,-0.000243,0.000578,-0.000578,0.000676,-0.000676
1.1055,0.06492,0.000256,-0.000208,0.000549,-0.000549,0.000676,-0.000676
1.2955,0.082959,0.000175,-0.000184,0.000579,-0.000579,0.000676,-0.000676
1.5055,0.101253,0.000234,-0.000161,0.000657,-0.000657,0.000676,-0.000676
1.7055,0.116419,0.00031,-0.000268,0.000786,-0.000786,0.000676,-0.000676
1.9045,0.130506,0.000515,-0.000431,0.000981,-0.000981,0.000676,-0.000676

