#: table_doi: 10.17182/hepdata.102408.v1/t279
#: name: Table 276
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data93,e.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,$\pi^+$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,0.020801,0.000107,-5.4e-05,4.1e-05,-4.1e-05,0.000363,-0.000363
0.495,0.041395,3.3e-05,-3.2e-05,4.9e-05,-4.9e-05,0.000363,-0.000363
0.675,0.061139,1.1e-05,-5e-06,6.6e-05,-6.6e-05,0.000363,-0.000363
0.885,0.078394,2.1e-05,-1.1e-05,9.4e-05,-9.4e-05,0.000363,-0.000363
1.065,0.093231,8e-06,-4e-06,0.000133,-0.000133,0.000363,-0.000363
1.275,0.105414,1.9e-05,-1.2e-05,0.000187,-0.000187,0.000363,-0.000363
1.485,0.115887,5.7e-05,-3.6e-05,0.000266,-0.000266,0.000363,-0.000363
1.665,0.123129,8.1e-05,-3.9e-05,0.000376,-0.000376,0.000363,-0.000363
1.875,0.129545,0.000137,-0.000137,0.000516,-0.000516,0.000363,-0.000363

