#: table_doi: 10.17182/hepdata.102408.v1/t280
#: name: Table 277
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data93,f.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,$K^+$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.013113,1.9e-05,-1.3e-05,0.000244,-0.000244,0.000439,-0.000439
0.495,0.028033,3.7e-05,-2.7e-05,0.000154,-0.000154,0.000439,-0.000439
0.705,0.04738,3.5e-05,-2.2e-05,0.000154,-0.000154,0.000439,-0.000439
0.885,0.06504,3.7e-05,-1.4e-05,0.00018,-0.00018,0.000439,-0.000439
1.095,0.07975,9e-05,-1.2e-05,0.000225,-0.000225,0.000439,-0.000439
1.275,0.091952,6.3e-05,-4e-05,0.000291,-0.000291,0.000439,-0.000439
1.485,0.101452,9.7e-05,-0.000156,0.000387,-0.000387,0.000439,-0.000439
1.695,0.108697,0.000116,-9.6e-05,0.000524,-0.000524,0.000439,-0.000439
1.875,0.114705,0.000215,-0.000248,0.00072,-0.00072,0.000439,-0.000439

