#: table_doi: 10.17182/hepdata.102408.v1/t284
#: name: Table 281
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data94,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,$\Lambda$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.012051,0.003517,-0.004268,0.007026,-0.007026,0.00078,-0.00078
0.5055,0.013378,0.000685,-0.000305,0.001718,-0.001718,0.00078,-0.00078
0.7055,0.026594,0.000329,-0.000382,0.000976,-0.000976,0.00078,-0.00078
0.9055,0.045153,0.000294,-0.000362,0.000774,-0.000774,0.00078,-0.00078
1.1055,0.062863,0.000224,-0.000191,0.000723,-0.000723,0.00078,-0.00078
1.2955,0.083814,0.000234,-0.000329,0.000752,-0.000752,0.00078,-0.00078
1.5055,0.10003,0.000317,-0.000206,0.000832,-0.000832,0.00078,-0.00078
1.7045,0.116343,0.000302,-0.00021,0.000976,-0.000976,0.00078,-0.00078
1.9055,0.133536,0.000531,-0.000476,0.001196,-0.001196,0.00078,-0.00078

