#: table_doi: 10.17182/hepdata.102408.v1/t287
#: name: Table 285
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data94,f.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,$ {K^+} $
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0128,3.8e-05,-2.3e-05,0.000333,-0.000333,0.000558,-0.000558
0.495,0.02815,3.8e-05,-2.5e-05,0.000204,-0.000204,0.000558,-0.000558
0.705,0.047977,5.8e-05,-3.9e-05,0.000202,-0.000202,0.000558,-0.000558
0.885,0.066765,5.4e-05,-2.2e-05,0.000232,-0.000232,0.000558,-0.000558
1.095,0.083377,6.3e-05,-1.8e-05,0.000285,-0.000285,0.000558,-0.000558
1.275,0.095404,0.000161,-1.8e-05,0.000366,-0.000366,0.000558,-0.000558
1.485,0.106832,0.000181,-2.5e-05,0.000482,-0.000482,0.000558,-0.000558
1.695,0.116863,0.000118,-0.000108,0.000641,-0.000641,0.000558,-0.000558
1.875,0.122605,0.000119,-9.6e-05,0.000869,-0.000869,0.000558,-0.000558

