#: table_doi: 10.17182/hepdata.102408.v1/t288
#: name: Table 286
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected particles.
#: data_file: Data94,g.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,$K{^0_s}$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.012604,5.9e-05,-6.1e-05,0.000905,-0.000905,0.000511,-0.000511
0.5055,0.028391,1e-05,-1e-05,0.000526,-0.000526,0.000511,-0.000511
0.7055,0.047773,8e-06,-8e-06,0.000437,-0.000437,0.000511,-0.000511
0.9055,0.065533,6.1e-05,-6.2e-05,0.000454,-0.000454,0.000511,-0.000511
1.1055,0.081037,1.8e-05,-1.8e-05,0.000534,-0.000534,0.000511,-0.000511
1.2955,0.094214,0.000181,-0.000187,0.00067,-0.00067,0.000511,-0.000511
1.5055,0.106462,0.000141,-0.000136,0.000875,-0.000875,0.000511,-0.000511
1.7055,0.115122,0.000107,-0.000112,0.001164,-0.001164,0.000511,-0.000511
1.9045,0.124632,0.000186,-0.000177,0.001552,-0.001552,0.000511,-0.000511

