#: table_doi: 10.17182/hepdata.102408.v1/t30
#: name: Table 30
#: description: The elliptic flow,v_2, as a function of the transverse momentum, p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data10,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,$\overline{p}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.008156,0.000225,-0.000164,0.001178,-0.001178,0.000735,-0.000735
0.495,0.011468,0.000523,-0.001322,0.000459,-0.000459,0.000735,-0.000735
0.705,0.02579,0.00062,-0.001441,0.000367,-0.000367,0.000735,-0.000735
0.885,0.046205,0.000537,-0.001204,0.000362,-0.000362,0.000735,-0.000735
1.095,0.066772,0.000563,-0.001227,0.000399,-0.000399,0.000735,-0.000735
1.275,0.086609,0.000527,-0.001146,0.000473,-0.000473,0.000735,-0.000735
1.485,0.105835,0.000507,-0.001094,0.000583,-0.000583,0.000735,-0.000735
1.695,0.123169,0.000291,-0.000567,0.000474,-0.000474,0.000735,-0.000735
1.875,0.137455,0.000117,-0.000147,0.000891,-0.000891,0.000735,-0.000735
2.085,0.147478,0.000202,-0.0004,0.001197,-0.001197,0.000735,-0.000735
2.295,0.156547,0.00033,-0.000157,0.00162,-0.00162,0.000735,-0.000735
2.475,0.167162,0.00132,-0.000663,0.002335,-0.002335,0.000735,-0.000735
2.685,0.167992,0.00074,-0.000386,0.003447,-0.003447,0.000735,-0.000735
2.955,0.179566,0.001389,-0.001295,0.004321,-0.004321,0.000735,-0.000735
3.345,0.182948,0.00166,-0.002695,0.008568,-0.008568,0.000735,-0.000735

