#: table_doi: 10.17182/hepdata.102408.v1/t312
#: name: Table 317
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected anti-particles.
#: data_file: Data98,e.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,$\pi^-$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,0.021863,0.0,-0.0,6.3e-05,-6.3e-05,0.000221,-0.000221
0.495,0.041449,7.2e-05,-3.6e-05,7.6e-05,-7.6e-05,0.000221,-0.000221
0.675,0.060415,5.6e-05,-2.8e-05,0.000105,-0.000105,0.000221,-0.000221
0.885,0.077314,4e-06,-8e-06,0.00015,-0.00015,0.000221,-0.000221
1.065,0.091085,4.2e-05,-8.4e-05,0.000216,-0.000216,0.000221,-0.000221
1.275,0.1024,1.2e-05,-2.3e-05,0.000307,-0.000307,0.000221,-0.000221
1.485,0.11233,3e-06,-6e-06,0.000436,-0.000436,0.000221,-0.000221
1.665,0.119006,5e-06,-6e-06,0.000621,-0.000621,0.000221,-0.000221
1.875,0.124619,1.3e-05,-7e-06,0.000881,-0.000881,0.000221,-0.000221

