#: table_doi: 10.17182/hepdata.102408.v1/t32
#: name: Table 32
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data11,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,${\bar{\Lambda}}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.003223,0.001525,-0.002582,0.006838,-0.006838,0.000676,-0.000676
0.5055,0.010038,0.000708,-0.000567,0.001765,-0.001765,0.000676,-0.000676
0.7055,0.022238,0.000327,-0.000559,0.001042,-0.001042,0.000676,-0.000676
0.9055,0.040383,0.000328,-0.00061,0.000856,-0.000856,0.000676,-0.000676
1.1055,0.058137,0.000256,-0.000197,0.000825,-0.000825,0.000676,-0.000676
1.2955,0.076407,0.000325,-0.00022,0.00088,-0.00088,0.000676,-0.000676
1.5055,0.094749,0.000337,-0.000502,0.001003,-0.001003,0.000676,-0.000676
1.7055,0.109501,0.000297,-0.000417,0.001202,-0.001202,0.000676,-0.000676
1.9055,0.123703,0.00042,-0.000246,0.001501,-0.001501,0.000676,-0.000676
1.1055,0.135494,0.000517,-0.000473,0.00193,-0.00193,0.000676,-0.000676
2.3045,0.147246,0.000857,-0.00053,0.002539,-0.002539,0.000676,-0.000676
2.5055,0.154064,0.000931,-0.000869,0.003397,-0.003397,0.000676,-0.000676
2.7055,0.164572,0.001309,-0.00136,0.004596,-0.004596,0.000676,-0.000676
3.0055,0.173615,0.001452,-0.001864,0.005072,-0.005072,0.000676,-0.000676
3.4055,0.183838,0.002947,-0.003344,0.009708,-0.009708,0.000676,-0.000676
3.9165,0.196968,0.011881,-0.010754,0.016487,-0.016487,0.000676,-0.000676

