#: table_doi: 10.17182/hepdata.102408.v1/t317
#: name: Table 322
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected anti-particles.
#: data_file: Data99,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,${\bar{\Lambda}}$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,$v_{2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.003223,0.001525,-0.002582,0.006838,-0.006838,0.000676,-0.000676
0.5055,0.000676,0.000708,-0.000567,0.001765,-0.001765,0.000676,-0.000676
0.7055,0.022238,0.000327,-0.000559,0.001042,-0.001042,0.000676,-0.000676
0.9055,0.040383,0.000328,-0.00061,0.000856,-0.000856,0.000676,-0.000676
1.1055,0.058137,0.000256,-0.000197,0.000825,-0.000825,0.000676,-0.000676
1.2955,0.076407,0.000325,-0.00022,0.00088,-0.00088,0.000676,-0.000676
1.5055,0.094749,0.000337,-0.000502,0.001003,-0.001003,0.000676,-0.000676
1.7055,0.109501,0.000297,-0.000417,0.001202,-0.001202,0.000676,-0.000676
1.9055,0.123703,0.00042,-0.000246,0.001501,-0.001501,0.000676,-0.000676

