#: table_doi: 10.17182/hepdata.102408.v1/t33
#: name: Table 33
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data11,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,${\bar{\Lambda}}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4925,0.011729,0.000575,-0.000982,0.00213,-0.00213,0.00078,-0.00078
0.7055,0.021776,0.000609,-0.001368,0.001279,-0.001279,0.00078,-0.00078
0.9055,0.039113,0.000284,-0.000328,0.001032,-0.001032,0.00078,-0.00078
1.1055,0.05928,0.00024,-0.000364,0.000978,-0.000978,0.00078,-0.00078
1.2955,0.077655,0.000416,-0.000288,0.001023,-0.001023,0.00078,-0.00078
1.5055,0.097361,0.000273,-0.000691,0.00114,-0.00114,0.00078,-0.00078
1.7055,0.114456,0.000185,-0.000376,0.001346,-0.001346,0.00078,-0.00078
1.9055,0.127578,0.00062,-0.000509,0.001645,-0.001645,0.00078,-0.00078
2.1055,0.137968,0.000658,-0.00054,0.002073,-0.002073,0.00078,-0.00078
2.3055,0.150677,0.000874,-0.000874,0.00269,-0.00269,0.00078,-0.00078
2.5055,0.158405,0.00117,-0.000945,0.003556,-0.003556,0.00078,-0.00078
2.7055,0.167271,0.00293,-0.002308,0.004762,-0.004762,0.00078,-0.00078
3.0055,0.177953,0.001193,-0.001114,0.005202,-0.005202,0.00078,-0.00078
3.5275,0.193741,0.004497,-0.004054,0.008218,-0.008218,0.00078,-0.00078

