#: table_doi: 10.17182/hepdata.102408.v1/t324
#: name: Table 330
#: description: The elliptic flow,v_2, of 0–80% central Au+Au collisions as a function of the reduced transverse mass,$ m_T−m_0 $, for selected anti-particles.
#: data_file: Data100,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/$ m_T−m_0 $
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,$\overline{p}$
#: Centrality [percentage],0-80
$Reduced ~transverse~ mass~(GeV/C^2)$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.008156,0.000225,-0.000164,0.001178,-0.001178,0.000735,-0.000735
0.495,0.011468,0.000523,-0.001322,0.000459,-0.000459,0.000735,-0.000735
0.705,0.02579,0.00062,-0.001441,0.000367,-0.000367,0.000735,-0.000735
0.885,0.046205,0.000537,-0.001204,0.000362,-0.000362,0.000735,-0.000735
1.095,0.066772,0.000563,-0.001227,0.000399,-0.000399,0.000735,-0.000735
1.275,0.086609,0.000527,-0.001146,0.000473,-0.000473,0.000735,-0.000735
1.485,0.105835,0.000507,-0.001094,0.000583,-0.000583,0.000735,-0.000735
1.695,0.123169,0.000291,-0.000567,0.000474,-0.000474,0.000735,-0.000735
1.875,0.137455,0.000117,-0.000147,0.000891,-0.000891,0.000735,-0.000735

