#: table_doi: 10.17182/hepdata.102408.v1/t5
#: name: Table 5
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data2,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],11.5
#: Au+Au,$K^+$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.013881,4.3e-05,-2.1e-05,0.001233,-0.001233,0.000885,-0.000885
0.495,0.028443,6.5e-05,-3.7e-05,0.000793,-0.000793,0.000885,-0.000885
0.705,0.042206,0.000142,-8.8e-05,0.000821,-0.000821,0.000885,-0.000885
0.885,0.055034,0.00012,-7.7e-05,0.000996,-0.000996,0.000885,-0.000885
1.095,0.067682,8.9e-05,-4.4e-05,0.001302,-0.001302,0.000885,-0.000885
1.275,0.077815,2.8e-05,-1.4e-05,0.001746,-0.001746,0.000885,-0.000885
1.485,0.087108,0.00017,-0.000207,0.002423,-0.002423,0.000885,-0.000885
1.665,0.087763,7.9e-05,-3.6e-05,0.003437,-0.003437,0.000885,-0.000885
1.965,0.085647,0.000852,-0.000871,0.004067,-0.004067,0.000885,-0.000885
2.325,0.08438,0.003642,-0.004604,0.010179,-0.010179,0.000885,-0.000885

