#: table_doi: 10.17182/hepdata.159489.v1/t28
#: name: Fig2_3.5GeV_$p$
#: description: $p_{T}$ dependence of $v_{2}$ for $p$ in Au+Au collisions at 3.5 GeV
#: data_file: v2pt_Proton_3.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.5
#: $p_{T}(GeV/c)$,$v_{2}$ $p$ 3.5 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.5,0.003346,0.000259,-0.000259,0.000229,-0.000229
0.7,0.006541,0.000609,-0.000609,0.000476,-0.000476
0.9,0.014027,0.000778,-0.000778,0.000794,-0.000794
1.1,0.019911,0.000947,-0.000947,0.001133,-0.001133
1.3,0.024153,0.000492,-0.000492,0.001331,-0.001331
1.5,0.031112,0.00073,-0.00073,0.001736,-0.001736
1.7,0.037942,0.001137,-0.001137,0.002154,-0.002154
1.9,0.047106,0.001961,-0.001961,0.002707,-0.002707
2.1,0.052851,0.003042,-0.003042,0.00355,-0.00355
2.3,0.061567,0.005594,-0.005594,0.004627,-0.004627
2.5,0.082516,0.008812,-0.008812,0.006558,-0.006558
2.7,0.070178,0.017073,-0.017073,0.006053,-0.006053

