#: table_doi: 10.17182/hepdata.159489.v1/t26
#: name: Fig2_3GeV_$p$
#: description: $p_{T}$ dependence of $v_{2}$ for $p$ in Au+Au collisions at 3 GeV
#: data_file: v2pt_Proton_3.0.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.0
#: $p_{T}(GeV/c)$,$v_{2}$ $p$ 3.0 GeV
$p_{T}(GeV/c)$,$v_{2}$,stat +,stat -,sys +,sys -
0.339501,-0.006221,0.000131,-0.000131,0.000912,-0.000912
0.509349,-0.011393,9.6e-05,-9.6e-05,0.000448,-0.000448
0.703229,-0.017742,0.000105,-0.000105,0.000565,-0.000565
0.898212,-0.02441,0.000131,-0.000131,0.000735,-0.000735
1.09527,-0.029245,0.000186,-0.000186,0.000886,-0.000886
1.2929,-0.031307,0.000293,-0.000293,0.001013,-0.001013
1.49358,-0.030302,0.00052,-0.00052,0.000956,-0.000956
1.69566,-0.028629,0.000957,-0.000957,0.001214,-0.001214
1.89754,-0.023654,0.001717,-0.001717,0.001497,-0.001497

