#: table_doi: 10.17182/hepdata.159489.v1/t62
#: name: Fig3_3.2GeV_$p$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $p$ at 3.2 GeV
#: data_file: NCQ_Proton_3.2.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 3.2
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $p$ 3.2 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.041647,-0.001594,3.5e-05,-3.5e-05,9.1e-05,-9.1e-05
0.077468,-0.002025,3.8e-05,-3.8e-05,3e-05,-3e-05
0.120647,-0.002273,4.6e-05,-4.6e-05,2.6e-05,-2.6e-05
0.16921,-0.002199,6.3e-05,-6.3e-05,9.8e-05,-9.8e-05
0.221691,-0.001688,9.2e-05,-9.2e-05,0.000119,-0.000119
0.277046,-0.000933,0.000143,-0.000143,0.00013,-0.00013
0.334536,0.001144,0.00023,-0.00023,9.4e-05,-9.4e-05
0.393642,0.003594,0.000385,-0.000385,0.000122,-0.000122
0.453989,0.008733,0.00067,-0.00067,0.000256,-0.000256
0.546263,0.008164,0.001062,-0.001062,0.000667,-0.000667
0.671646,0.015423,0.003839,-0.003839,0.00309,-0.00309

