#: table_doi: 10.17182/hepdata.159489.v1/t70
#: name: Fig3_4.5GeV_$\Lambda$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $\Lambda$ at 4.5 GeV
#: data_file: NCQ_Lambda_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $\Lambda$ 4.5 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.050368,0.003571,0.002794,-0.002794,0.002437,-0.002437
0.085726,0.011569,0.001567,-0.001567,0.001663,-0.001663
0.127522,0.013998,0.001363,-0.001363,0.001634,-0.001634
0.174279,0.022701,0.001488,-0.001488,0.002696,-0.002696
0.237955,0.025589,0.001583,-0.001583,0.002945,-0.002945
0.305908,0.031359,0.002855,-0.002855,0.003527,-0.003527
0.362555,0.045904,0.004241,-0.004241,0.005619,-0.005619
0.420763,0.049728,0.006456,-0.006456,0.00746,-0.00746
0.495237,0.049819,0.009439,-0.009439,0.004863,-0.004863

