#: table_doi: 10.17182/hepdata.159489.v1/t45
#: name: Fig3_4.5GeV_$\pi^{-}$
#: description: The number of constituent quarks $n_q$ scaled $v_2$ as a function of $n_q$ scaled transverse kinetic energy for $\pi^{-}$ at 4.5 GeV
#: data_file: NCQ_PiM_4.5.yaml
#: keyword observables: elliptic flow
#: keyword cmenergies: 4.5
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$ $\pi^{-}$ 4.5 GeV
$(m_T - m_0)/n_q (GeV/c^2)$,$v_{2}/n_{q}$,stat +,stat -,sys +,sys -
0.095529,0.009942,0.00018,-0.00018,0.001344,-0.001344
0.189615,0.018194,0.000413,-0.000413,0.002436,-0.002436
0.286931,0.023593,0.000523,-0.000523,0.003257,-0.003257
0.385412,0.027443,0.000807,-0.000807,0.003698,-0.003698
0.484437,0.032485,0.001077,-0.001077,0.004483,-0.004483
0.583758,0.036937,0.001587,-0.001587,0.004785,-0.004785
0.68326,0.040564,0.002594,-0.002594,0.005132,-0.005132
0.782877,0.040502,0.004409,-0.004409,0.005117,-0.005117
0.882575,0.045448,0.007661,-0.007661,0.005255,-0.005255

