#: table_doi: 10.17182/hepdata.105867.v1/t2
#: name: Table 2
#: description: Directed flow for $\pi^{-}$ versus rapidity for central (0-10$\%$), intermediate-centrality (10-40$\%$) and peripheral (40-80$\%$) Au+Au collisions at $\sqrt{s_{NN}}$ = 39, 27, 19.6, 11.5 and 7.7 GeV. Errors are statistical only.
#: data_file: Table2.yaml
#: keyword observables: Directed flow
#: keyword phrases: Directed flow | Rapidity dependence
#: CENTRALITY,0-10$\%$
#: SQRT(sNN) [GeV],39.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.00418019,0.00118434,-0.00118434
-0.7,0.00455485,0.000674411,-0.000674411
-0.5,0.00221147,0.000634629,-0.000634629
-0.3,0.00190326,0.000629249,-0.000629249
-0.1,0.000687622,0.000653153,-0.000653153
0.1,2.62369e-05,0.00064592,-0.00064592
0.3,-0.002069,0.000626797,-0.000626797
0.5,-0.00288105,0.000633985,-0.000633985
0.7,-0.00438558,0.000686472,-0.000686472
0.9,-0.0054163,0.00133703,-0.00133703

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],39.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0106218,0.000454181,-0.000454181
-0.7,0.00779001,0.000256502,-0.000256502
-0.5,0.00526938,0.000240557,-0.000240557
-0.3,0.00327819,0.000238824,-0.000238824
-0.1,0.0012148,0.000247346,-0.000247346
0.1,-0.00100591,0.000245246,-0.000245246
0.3,-0.00307684,0.00023766,-0.00023766
0.5,-0.00500015,0.000239787,-0.000239787
0.7,-0.00717131,0.000258563,-0.000258563
0.9,-0.0103756,0.000486166,-0.000486166

#: CENTRALITY,40-80$\%$
#: SQRT(sNN) [GeV],39.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0188297,0.00253854,-0.00253854
-0.7,0.0118609,0.00141978,-0.00141978
-0.5,0.00818098,0.00132712,-0.00132712
-0.3,0.00459556,0.00131708,-0.00131708
-0.1,0.00329827,0.00136191,-0.00136191
0.1,-0.00226344,0.00135126,-0.00135126
0.3,-0.00301623,0.00130798,-0.00130798
0.5,-0.00717489,0.00131876,-0.00131876
0.7,-0.0127507,0.0014198,-0.0014198
0.9,-0.0225615,0.00261972,-0.00261972

#: CENTRALITY,0-10$\%$
#: SQRT(sNN) [GeV],27.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.00801762,0.00122567,-0.00122567
-0.7,0.00348652,0.000698683,-0.000698683
-0.5,0.00301775,0.000649853,-0.000649853
-0.3,0.00129137,0.000645264,-0.000645264
-0.1,-0.000247755,0.000674138,-0.000674138
0.1,9.60463e-05,0.000675962,-0.000675962
0.3,-0.000745626,0.0006521,-0.0006521
0.5,-0.00250023,0.000658061,-0.000658061
0.7,-0.00371171,0.000711945,-0.000711945
0.9,-0.00737118,0.00128381,-0.00128381

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],27.0
