#: table_doi: 10.17182/hepdata.105867.v1/t4
#: name: Table 4
#: description: Directed flow for $\pi^{+}$ and $\pi^{-}$ versus rapidity for intermediate-centrality (10-40$\%$) Au+Au collisions at $\sqrt{s_{NN}}$ = 200, 62.4, 39, 27, 19.6, 11.5 and 7.7 GeV. Errors are statistical only.
#: data_file: Table4.yaml
#: keyword observables: Directed flow
#: keyword phrases: Directed flow | Rapidity dependence
#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],200.0
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
-0.9,0.00249585,0.00012899,-0.00012899
-0.7,0.00162055,7.74849e-05,-7.74849e-05
-0.5,0.000930214,7.88501e-05,-7.88501e-05
-0.3,0.000609043,7.87375e-05,-7.87375e-05
-0.1,0.000359353,8.17838e-05,-8.17838e-05
0.1,-0.000137729,8.01648e-05,-8.01648e-05
0.3,-0.000699162,7.76984e-05,-7.76984e-05
0.5,-0.0010537,7.80278e-05,-7.80278e-05
0.7,-0.00181868,7.65627e-05,-7.65627e-05
0.9,-0.00187592,0.000131422,-0.000131422

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],200.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.00260724,0.000128516,-0.000128516
-0.7,0.00150721,7.70032e-05,-7.70032e-05
-0.5,0.000780965,7.82033e-05,-7.82033e-05
-0.3,0.000543261,7.80596e-05,-7.80596e-05
-0.1,0.000356083,8.13025e-05,-8.13025e-05
0.1,-0.000139177,8.05943e-05,-8.05943e-05
0.3,-0.00072966,7.8044e-05,-7.8044e-05
0.5,-0.000965291,7.82168e-05,-7.82168e-05
0.7,-0.0018825,7.67131e-05,-7.67131e-05
0.9,-0.00205431,0.000131745,-0.000131745

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],62.4
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
-0.9,0.00428779,0.00163148,-0.00163148
-0.7,0.00323612,0.00106936,-0.00106936
-0.5,0.00236958,0.00111508,-0.00111508
-0.3,0.00093441,0.00110286,-0.00110286
-0.1,0.000740668,0.00116473,-0.00116473
0.1,0.00167289,0.00122014,-0.00122014
0.3,0.000165305,0.00117198,-0.00117198
0.5,-0.000980157,0.00117864,-0.00117864
0.7,-0.00434401,0.00110179,-0.00110179
0.9,-0.00977364,0.00132122,-0.00132122

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],62.4
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.00438295,0.00141524,-0.00141524
-0.7,0.00411733,0.00123229,-0.00123229
-0.5,0.00122953,0.001335,-0.001335
-0.3,7.41723e-05,0.00132366,-0.00132366
-0.1,-0.0024552,0.00133626,-0.00133626
0.1,-0.000515286,0.00113689,-0.00113689
0.3,-0.0019288,0.001063,-0.001063
0.5,-0.00322419,0.00107058,-0.00107058
0.7,-0.00226843,0.00100462,-0.00100462
0.9,-0.00508504,0.00120355,-0.00120355

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],39.0
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
-0.9,0.0109445,0.000521105,-0.000521105
-0.7,0.00773885,0.000294292,-0.000294292
-0.5,0.00524334,0.000275742,-0.000275742
-0.3,0.00343379,0.000273563,-0.000273563
-0.1,0.00160978,0.000282915,-0.000282915
0.1,-0.000649723,0.000280367,-0.000280367
0.3,-0.00300401,0.000271706,-0.000271706
0.5,-0.00504323,0.000274338,-0.000274338
0.7,-0.00798078,0.000295833,-0.000295833
0.9,-0.011393,0.000553013,-0.000553013

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],39.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0110647,0.000518389,-0.000518389
-0.7,0.00828918,0.000292246,-0.000292246
-0.5,0.00590016,0.000273953,-0.000273953
-0.3,0.00377886,0.000271983,-0.000271983
-0.1,0.00161982,0.000281631,-0.000281631
0.1,-0.000684347,0.000279341,-0.000279341
0.3,-0.00256065,0.000270644,-0.000270644
0.5,-0.00439674,0.000273035,-0.000273035
0.7,-0.00683917,0.000294305,-0.000294305
0.9,-0.00994148,0.00055169,-0.00055169

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],27.0
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
-0.9,0.0135511,0.00057034,-0.00057034
-0.7,0.00969729,0.000324661,-0.000324661
-0.5,0.00667144,0.000301969,-0.000301969
-0.3,0.00335904,0.000300196,-0.000300196
-0.1,0.00101182,0.000313271,-0.000313271
0.1,-0.00151049,0.000314037,-0.000314037
0.3,-0.00453285,0.000303135,-0.000303135
0.5,-0.00638047,0.000305295,-0.000305295
0.7,-0.00927839,0.000329488,-0.000329488
0.9,-0.0142414,0.000587928,-0.000587928

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],27.0
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0138726,0.000565422,-0.000565422
-0.7,0.008936,0.000320755,-0.000320755
-0.5,0.00671994,0.000298325,-0.000298325
-0.3,0.00378474,0.000296934,-0.000296934
-0.1,0.00131286,0.000309859,-0.000309859
0.1,-0.00158854,0.000310638,-0.000310638
0.3,-0.00378421,0.000299438,-0.000299438
0.5,-0.00658994,0.000301406,-0.000301406
0.7,-0.00914576,0.000325196,-0.000325196
0.9,-0.0143495,0.000581894,-0.000581894

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],19.6
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
-0.9,0.0160849,0.000556038,-0.000556038
-0.7,0.0123355,0.000308246,-0.000308246
-0.5,0.00807006,0.000284029,-0.000284029
-0.3,0.00494161,0.000280359,-0.000280359
-0.1,0.00122771,0.000292901,-0.000292901
0.1,-0.00153803,0.00029282,-0.00029282
0.3,-0.0050725,0.000280183,-0.000280183
0.5,-0.00818653,0.000282521,-0.000282521
0.7,-0.011541,0.000306927,-0.000306927
0.9,-0.016216,0.000554688,-0.000554688

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],19.6
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0144346,0.000550993,-0.000550993
-0.7,0.0104764,0.0003045,-0.0003045
-0.5,0.00745356,0.000280704,-0.000280704
-0.3,0.0041527,0.000277313,-0.000277313
-0.1,0.00154976,0.000289836,-0.000289836
0.1,-0.00114601,0.000289477,-0.000289477
0.3,-0.00477961,0.000276695,-0.000276695
0.5,-0.0074476,0.000278627,-0.000278627
0.7,-0.0102069,0.000302665,-0.000302665
0.9,-0.0151694,0.000548912,-0.000548912

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],11.5
rapidity ($y$),$v_{1}$ for $\pi^{+}$,stat. +,stat. -
-0.9,0.0233604,0.000998776,-0.000998776
-0.7,0.0165231,0.000575418,-0.000575418
-0.5,0.0116872,0.000519441,-0.000519441
-0.3,0.00788576,0.000512361,-0.000512361
-0.1,0.00194927,0.000528564,-0.000528564
0.1,-0.00232941,0.00052793,-0.00052793
0.3,-0.00652091,0.000513976,-0.000513976
0.5,-0.0114557,0.000521115,-0.000521115
0.7,-0.0166497,0.000579497,-0.000579497
0.9,-0.0247683,0.00102171,-0.00102171

#: CENTRALITY,10-40$\%$
#: SQRT(sNN) [GeV],11.5
rapidity ($y$),$v_{1}$ for $\pi^{-}$,stat. +,stat. -
-0.9,0.0190933,0.000981245,-0.000981245
-0.7,0.0151897,0.00056226,-0.00056226
