#: table_doi: 10.17182/hepdata.105867.v1/t5
#: name: Table 5
#: description: Directed flow slope $dv_{1}/dy$ of protons, antiprotons and $\pi^{\pm}$ near midrapidity versus beam energy for intermediate-centrality (10-40$\%$) Au+Au collisions.
#: data_file: Table5.yaml
#: keyword observables: Directed flow
#: keyword phrases: Directed flow slope | Energy dependence
#: CENTRALITY,10-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],slope ($dv_{1}/dy$) for $\pi^{+}$,stat. +,stat. -,syst. +,syst. -
7.7,-0.0233159,0.00195083,-0.00195083,0.000947368,-0.000947368
11.5,-0.0238797,0.00173353,-0.00173353,0.000472265,-0.000472265
19.6,-0.016315,0.00094944,-0.00094944,0.000386864,-0.000386864
27.0,-0.0130634,0.00102075,-0.00102075,0.000338137,-0.000338137
39.0,-0.0110353,0.000921438,-0.000921438,0.000359618,-0.000359618
62.4,-0.00587525,0.00069624,-0.00069624,0.000446856,-0.000446856
200,-0.00235619,5.23337e-05,-5.23337e-05,2.46856e-05,-2.46856e-05

#: CENTRALITY,10-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],slope ($dv_{1}/dy$) for $\pi^{-}$,stat. +,stat. -,syst. +,syst. -
7.7,-0.0173067,0.00188481,-0.00188481,0.00091441,-0.00091441
11.5,-0.018646,0.00169459,-0.00169459,0.000461386,-0.000461386
19.6,-0.0146003,0.000938462,-0.000938462,0.000382357,-0.000382357
27.0,-0.012676,0.00100908,-0.00100908,0.000334132,-0.000334132
39.0,-0.0108669,0.000917088,-0.000917088,0.00035757,-0.00035757
62.4,-0.0048208,0.000676113,-0.000676113,0.000446856,-0.000446856
200,-0.00233137,5.2499e-05,-5.2499e-05,2.46856e-05,-2.46856e-05

#: CENTRALITY,10-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],slope ($dv_{1}/dy$) for anti-proton,stat. +,stat. -,syst. +,syst. -
7.7,-0.0358057,0.02164369,-0.02164369,0.019,-0.019
11.5,-0.0351478,0.00847682,-0.00847682,0.0071,-0.0071
19.6,-0.0293238,0.00473378,-0.00473378,0.004,-0.004
27.0,-0.023209,0.00356216,-0.00356216,0.003,-0.003
39.0,-0.0186672,0.00354199,-0.00354199,0.003,-0.003
62.4,-0.0165848,0.00297745,-0.00297745,0.006104,-0.006104
200,-0.0048911,0.00025203,-0.00025203,0.000286368,-0.000286368

#: CENTRALITY,10-40$\%$
$\sqrt{s_{NN}}$ [$(GeV)$],slope ($dv_{1}/dy$) for proton,stat. +,stat. -,syst. +,syst. -
7.7,0.0125633,0.00110027,-0.00110027,0.0029,-0.0029
11.5,-0.00544871,0.00111279,-0.00111279,0.0021,-0.0021
19.6,-0.00594486,0.000777508,-0.000777508,0.0014,-0.0014
27.0,-0.00497679,0.000761942,-0.000761942,0.001,-0.001
39.0,-0.00342149,0.000927623,-0.000927623,0.0012,-0.0012
62.4,-0.00267291,0.00195178,-0.00195178,0.00317921,-0.00317921
200,-0.000821396,0.000211236,-0.000211236,0.00052713,-0.00052713

