energy,particle,centrality,pt,v2,stat,syst,glob,nq,mass,mt_minus_m0_over_nq,v2_over_nq,stat_over_nq,syst_over_nq,glob_over_nq,source,source_doi,table,table_doi,extraction
3.0,K+,10-40%,0.433438,-0.019876,0.001183,0.001266,0.0,2,0.493677,0.0816373287047161,-0.009938,0.0005915,0.000633,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{+}$,10.17182/hepdata.159489.v1/t11,direct HEPData v2(pT); NCQ transform computed locally
3.0,K+,10-40%,0.694338,-0.016696,0.001611,0.002512,0.0,2,0.493677,0.17913750829536165,-0.008348,0.0008055,0.001256,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{+}$,10.17182/hepdata.159489.v1/t11,direct HEPData v2(pT); NCQ transform computed locally
3.0,K+,10-40%,0.940132,-0.011358,0.002129,0.002622,0.0,2,0.493677,0.2840958551120515,-0.005679,0.0010645,0.001311,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{+}$,10.17182/hepdata.159489.v1/t11,direct HEPData v2(pT); NCQ transform computed locally
3.0,K+,10-40%,1.34998,-0.015947,0.005325,0.004952,0.0,2,0.493677,0.47186919105544567,-0.0079735,0.0026625,0.002476,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{+}$,10.17182/hepdata.159489.v1/t11,direct HEPData v2(pT); NCQ transform computed locally
3.0,K-,10-40%,0.429369,-0.020026,0.00491,0.001982,0.0,2,0.493677,0.08029859606600717,-0.010013,0.002455,0.000991,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{-}$,10.17182/hepdata.159489.v1/t16,direct HEPData v2(pT); NCQ transform computed locally
3.0,K-,10-40%,0.696122,-0.013742,0.007047,0.005472,0.0,2,0.493677,0.179864798327128,-0.006871,0.0035235,0.002736,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{-}$,10.17182/hepdata.159489.v1/t16,direct HEPData v2(pT); NCQ transform computed locally
3.0,K-,10-40%,0.953555,-0.01975,0.00865,0.008653,0.0,2,0.493677,0.2900469902011229,-0.009875,0.004325,0.0043265,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{-}$,10.17182/hepdata.159489.v1/t16,direct HEPData v2(pT); NCQ transform computed locally
3.0,K-,10-40%,1.33812,-0.053895,0.019621,0.008434,0.0,2,0.493677,0.4663028104583481,-0.0269475,0.0098105,0.004217,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{-}$,10.17182/hepdata.159489.v1/t16,direct HEPData v2(pT); NCQ transform computed locally
3.0,K0S,10-40%,0.3,-0.031382,0.017497,0.016291,0.0,2,0.497611,0.04171846945906199,-0.015691,0.0087485,0.0081455,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t21,direct HEPData v2(pT); NCQ transform computed locally
3.0,K0S,10-40%,0.5,0.005932,0.015373,0.013437,0.0,2,0.497611,0.10390426287912702,0.002966,0.0076865,0.0067185,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t21,direct HEPData v2(pT); NCQ transform computed locally
3.0,K0S,10-40%,0.7,0.007716,0.016845,0.008854,0.0,2,0.497611,0.18061757440361187,0.003858,0.0084225,0.004427,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t21,direct HEPData v2(pT); NCQ transform computed locally
3.0,K0S,10-40%,0.9,-0.007246,0.023027,0.006252,0.0,2,0.497611,0.2653969667679551,-0.003623,0.0115135,0.003126,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t21,direct HEPData v2(pT); NCQ transform computed locally
3.0,K0S,10-40%,1.1,0.033238,0.037305,0.005329,0.0,2,0.497611,0.3548534905155476,0.016619,0.0186525,0.0026645,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t21,direct HEPData v2(pT); NCQ transform computed locally
3.0,K0S,10-40%,1.4,0.050517,0.064314,0.014424,0.0,2,0.497611,0.49409703521592585,0.0252585,0.032157,0.007212,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$K^{0}_{S}$,10.17182/hepdata.159489.v1/t21,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,0.5,-0.018612,0.00452,0.024608,0.0,3,1.115683,0.03563869961396312,-0.006204,0.0015066666666666666,0.008202666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,0.7,-0.018863,0.003183,0.008296,0.0,3,1.115683,0.06713851237401107,-0.006287666666666667,0.001061,0.002765333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,0.9,-0.02042,0.003215,0.014903,0.0,3,1.115683,0.1059188050015647,-0.006806666666666667,0.0010716666666666667,0.004967666666666666,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,1.1,-0.010807,0.004067,0.035774,0.0,3,1.115683,0.15036024023198155,-0.0036023333333333337,0.0013556666666666667,0.011924666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,1.4,-0.000425,0.005517,0.006116,0.0,3,1.115683,0.224832717287989,-0.00014166666666666665,0.0018390000000000001,0.0020386666666666665,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,Lambda,10-40%,1.8,0.017864,0.015125,0.01309,0.0,3,1.115683,0.3340131642649316,0.005954666666666667,0.0050416666666666665,0.004363333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$\Lambda$,10.17182/hepdata.159489.v1/t31,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.339501,-0.006221,0.000131,0.000912,0.0,3,0.93827208816,0.019844407907532353,-0.002073666666666667,4.366666666666667e-05,0.000304,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.509349,-0.011393,9.6e-05,0.000448,0.0,3,0.93827208816,0.04311260654485616,-0.0037976666666666666,3.2e-05,0.00014933333333333332,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.703229,-0.017742,0.000105,0.000565,0.0,3,0.93827208816,0.07809434798669172,-0.005914,3.5000000000000004e-05,0.00018833333333333332,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,0.898212,-0.02441,0.000131,0.000735,0.0,3,0.93827208816,0.12020905994066045,-0.008136666666666667,4.366666666666667e-05,0.000245,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.09527,-0.029245,0.000186,0.000886,0.0,3,0.93827208816,0.1679794426481449,-0.009748333333333333,6.2e-05,0.0002953333333333333,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.2929,-0.031307,0.000293,0.001013,0.0,3,0.93827208816,0.21973623885033566,-0.010435666666666668,9.766666666666668e-05,0.00033766666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
3.0,p,10-40%,1.49358,-0.030302,0.00052,0.000956,0.0,3,0.93827208816,0.2751896991278926,-0.010100666666666666,0.0001733333333333333,0.0003186666666666667,0.0,"STAR PRL 135, 072301 (2025), HEPData",10.17182/hepdata.159489,Fig2_3GeV_$p$,10.17182/hepdata.159489.v1/t26,direct HEPData v2(pT); NCQ transform computed locally
