#: table_doi: 10.17182/hepdata.110657.v1/t9
#: name: Data from Figure 3(a)
#: description: Rapidity density distributions of $K^-$ (squares), $p_T$-integrated yields $dN/dy$ in 0--10\% (a), 10--40\% (b) and 40--60\% central (c) Au+Au collisions at ${\sqrt{s_{\mathrm{NN}}} = \mathrm{3\,GeV}}$. %The full symbols show the measured data, while the open ones are data reflected with respect to $y=0$ in the center-of-mass frame. Solid lines depict Gaussian function fits to the data points.
#: data_file: gpc310_fig3_data_01.yaml
#: keyword observables: DN/DY
#: keyword reactions: AU AU --> K- X
#: keyword cmenergies: 3.0
#: keyword phrases: Rapidity Dependence | Strangeness Production
#: CENT,0-10 PCT
Particle Rapidity $K^-$,$dN/d_{y}$,stat +,stat -,sys +,sys -
-0.95,0.0129,0.000189,-0.000189,0.000932,-0.000932
-0.85,0.0194,0.000372,-0.000372,0.00109,-0.00109
-0.75,0.0248,0.000244,-0.000244,0.00143,-0.00143
-0.65,0.0316,0.000241,-0.000241,0.00157,-0.00157
-0.55,0.0398,0.000231,-0.000231,0.00211,-0.00211
-0.45,0.0458,0.000248,-0.000248,0.00308,-0.00308
-0.35,0.05,0.000289,-0.000289,0.00334,-0.00334
-0.25,0.057,0.000382,-0.000382,0.00486,-0.00486
-0.15,0.0624,0.000402,-0.000402,0.00613,-0.00613
-0.05,0.0673,0.000524,-0.000524,0.00717,-0.00717

#: CENT,10-40 PCT
Particle Rapidity $K^-$,$dN/d_{y}$,stat +,stat -,sys +,sys -
-0.95,0.00487,7.2e-05,-7.2e-05,0.000374,-0.000374
-0.85,0.00718,0.000105,-0.000105,0.000462,-0.000462
-0.75,0.00993,0.000111,-0.000111,0.000551,-0.000551
-0.65,0.0127,8.93e-05,-8.93e-05,0.000675,-0.000675
-0.55,0.0156,8.8e-05,-8.8e-05,0.000943,-0.000943
-0.45,0.0178,8.93e-05,-8.93e-05,0.000939,-0.000939
-0.35,0.0199,0.000116,-0.000116,0.00139,-0.00139
-0.25,0.0222,0.00013,-0.00013,0.00208,-0.00208
-0.15,0.024,0.000153,-0.000153,0.0022,-0.0022
-0.05,0.0267,0.000206,-0.000206,0.00374,-0.00374

#: CENT,40-60 PCT
Particle Rapidity $K^-$,$dN/d_{y}$,stat +,stat -,sys +,sys -
-0.95,0.000717,5.34e-05,-5.34e-05,0.000436,-0.000436
-0.85,0.00154,8.92e-05,-8.92e-05,0.000148,-0.000148
-0.75,0.00234,6.46e-05,-6.46e-05,0.000217,-0.000217
-0.65,0.00297,7.53e-05,-7.53e-05,0.000171,-0.000171
-0.55,0.00343,5.92e-05,-5.92e-05,0.000231,-0.000231
-0.45,0.00406,5.59e-05,-5.59e-05,0.000309,-0.000309
-0.35,0.00466,5.95e-05,-5.95e-05,0.000411,-0.000411
-0.25,0.00564,8.5e-05,-8.5e-05,0.000617,-0.000617
-0.15,0.00609,8.19e-05,-8.19e-05,0.000604,-0.000604
-0.05,0.00626,0.000113,-0.000113,0.00116,-0.00116

